# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T09:48:33.264253

wavelength[nm],intensity[nW]
1440.699951172,0.000000002
1440.739990234,0.000000024
1440.780029297,0.000000007
1440.820068359,0.000000003
1440.859985352,0.000000005
1440.899902344,0.000000000
1440.939941406,0.000000000
1440.979980469,0.000000023
1441.020019531,0.000000017
1441.060058594,0.000000006
1441.100097656,0.000000015
1441.139892578,0.000000006
1441.179931641,0.000000018
1441.219970703,0.000000001
1441.260009766,0.000000018
1441.300048828,0.000000000
1441.340087891,0.000000016
1441.380004883,0.000000012
1441.419921875,0.000000006
1441.459960938,0.000000010
1441.500000000,0.000000005
1441.540039062,0.000000014
1441.580078125,0.000000000
1441.619995117,0.000000047
1441.659912109,0.000000016
1441.699951172,0.000000017
1441.739990234,0.000000005
1441.780029297,0.000000001
1441.820068359,0.000000038
1441.859985352,0.000000018
1441.900024414,0.000000036
1441.939941406,0.000000048
1441.979980469,0.000000025
1442.020019531,0.000000028
1442.060058594,0.000000051
1442.099975586,0.000000042
1442.140014648,0.000000053
1442.179931641,0.000000041
1442.219970703,0.000000018
1442.260009766,0.000000035
1442.300048828,0.000000033
1442.339965820,0.000000048
1442.380004883,0.000000033
1442.419921875,0.000000056
1442.459960938,0.000000022
1442.500000000,0.000000016
1442.540039062,0.000000006
1442.579956055,0.000000026
1442.619995117,0.000000030
1442.660034180,0.000000050
1442.699951172,0.000000034
1442.739990234,0.000000042
1442.780029297,0.000000044
1442.820068359,0.000000035
1442.859985352,0.000000054
1442.900024414,0.000000053
1442.939941406,0.000000057
1442.979980469,0.000000060
1443.020019531,0.000000056
1443.060058594,0.000000054
1443.099975586,0.000000052
1443.140014648,0.000000036
1443.180053711,0.000000050
1443.219970703,0.000000053
1443.260009766,0.000000056
1443.300048828,0.000000043
1443.339965820,0.000000055
1443.380004883,0.000000066
1443.420043945,0.000000082
1443.459960938,0.000000055
1443.500000000,0.000000063
