# User: Politechnika Gdańska
# Host: DESKTOP-69S5BNK
# Platform: Windows-11-10.0.26100-SP0
# Time: 2025-09-05T12:13:32.664207

wavelength[nm],intensity[nW]
1440.699951172,0.000000060
1440.739990234,0.000000064
1440.780029297,0.000000075
1440.820068359,0.000000061
1440.859985352,0.000000070
1440.899902344,0.000000051
1440.939941406,0.000000064
1440.979980469,0.000000047
1441.020019531,0.000000063
1441.060058594,0.000000085
1441.100097656,0.000000054
1441.139892578,0.000000068
1441.179931641,0.000000060
1441.219970703,0.000000054
1441.260009766,0.000000064
1441.300048828,0.000000053
1441.340087891,0.000000042
1441.380004883,0.000000067
1441.419921875,0.000000080
1441.459960938,0.000000079
1441.500000000,0.000000075
1441.540039062,0.000000106
1441.580078125,0.000000067
1441.619995117,0.000000072
1441.659912109,0.000000082
1441.699951172,0.000000063
1441.739990234,0.000000061
1441.780029297,0.000000066
1441.820068359,0.000000079
1441.859985352,0.000000075
1441.900024414,0.000000089
1441.939941406,0.000000086
1441.979980469,0.000000076
1442.020019531,0.000000079
1442.060058594,0.000000106
1442.099975586,0.000000078
1442.140014648,0.000000084
1442.179931641,0.000000098
1442.219970703,0.000000084
1442.260009766,0.000000077
1442.300048828,0.000000085
1442.339965820,0.000000077
1442.380004883,0.000000097
1442.419921875,0.000000089
1442.459960938,0.000000082
1442.500000000,0.000000081
1442.540039062,0.000000087
1442.579956055,0.000000077
1442.619995117,0.000000100
1442.660034180,0.000000101
1442.699951172,0.000000083
1442.739990234,0.000000072
1442.780029297,0.000000115
1442.820068359,0.000000102
1442.859985352,0.000000112
1442.900024414,0.000000058
1442.939941406,0.000000070
1442.979980469,0.000000105
1443.020019531,0.000000103
1443.060058594,0.000000067
1443.099975586,0.000000089
1443.140014648,0.000000128
1443.180053711,0.000000097
1443.219970703,0.000000074
1443.260009766,0.000000104
1443.300048828,0.000000097
1443.339965820,0.000000106
1443.380004883,0.000000113
1443.420043945,0.000000116
1443.459960938,0.000000097
1443.500000000,0.000000089
1443.540039062,0.000000100
1443.579956055,0.000000092
1443.619995117,0.000000099
1443.660034180,0.000000111
1443.699951172,0.000000105
1443.739990234,0.000000112
1443.780029297,0.000000124
1443.819946289,0.000000094
1443.859985352,0.000000099
1443.900024414,0.000000108
1443.940063477,0.000000121
1443.979980469,0.000000120
1444.020019531,0.000000085
1444.059936523,0.000000103
1444.099975586,0.000000128
1444.140014648,0.000000095
1444.180053711,0.000000108
1444.219970703,0.000000113
1444.260009766,0.000000094
1444.299926758,0.000000093
1444.339965820,0.000000118
1444.380004883,0.000000144
1444.420043945,0.000000108
1444.460083008,0.000000121
1444.500000000,0.000000098
1444.539916992,0.000000103
1444.579956055,0.000000110
1444.619995117,0.000000115
1444.660034180,0.000000117
1444.700073242,0.000000114
1444.739990234,0.000000098
1444.780029297,0.000000115
1444.819946289,0.000000112
1444.859985352,0.000000111
1444.900024414,0.000000116
1444.940063477,0.000000094
1444.979980469,0.000000111
1445.020019531,0.000000125
1445.059936523,0.000000104
1445.099975586,0.000000111
1445.140014648,0.000000110
1445.180053711,0.000000114
1445.220092773,0.000000119
1445.260009766,0.000000098
1445.299926758,0.000000105
1445.339965820,0.000000125
1445.380004883,0.000000129
1445.420043945,0.000000114
1445.460083008,0.000000100
1445.500000000,0.000000118
1445.539916992,0.000000130
1445.579956055,0.000000095
1445.619995117,0.000000125
1445.660034180,0.000000091
1445.700073242,0.000000126
1445.740112305,0.000000124
1445.779907227,0.000000091
1445.819946289,0.000000089
1445.859985352,0.000000100
1445.900024414,0.000000135
1445.940063477,0.000000104
1445.980102539,0.000000112
1446.019897461,0.000000078
1446.059936523,0.000000108
1446.099975586,0.000000138
1446.140014648,0.000000104
1446.180053711,0.000000109
1446.220092773,0.000000122
1446.259887695,0.000000099
1446.299926758,0.000000124
1446.339965820,0.000000117
1446.380004883,0.000000139
1446.420043945,0.000000124
1446.460083008,0.000000113
1446.500000000,0.000000133
1446.539916992,0.000000138
1446.579956055,0.000000128
1446.619995117,0.000000102
1446.660034180,0.000000117
1446.700073242,0.000000127
1446.739990234,0.000000136
1446.779907227,0.000000115
1446.819946289,0.000000115
1446.859985352,0.000000123
1446.900024414,0.000000124
1446.940063477,0.000000108
1446.979980469,0.000000119
1447.020019531,0.000000132
1447.059936523,0.000000118
1447.099975586,0.000000132
1447.140014648,0.000000112
1447.180053711,0.000000137
1447.219970703,0.000000125
1447.260009766,0.000000137
1447.299926758,0.000000126
1447.339965820,0.000000125
1447.380004883,0.000000137
1447.420043945,0.000000129
1447.460083008,0.000000146
1447.500000000,0.000000135
1447.539916992,0.000000121
1447.579956055,0.000000119
1447.619995117,0.000000127
1447.660034180,0.000000134
1447.700073242,0.000000147
1447.739990234,0.000000139
1447.780029297,0.000000143
1447.819946289,0.000000107
1447.859985352,0.000000136
1447.900024414,0.000000129
1447.940063477,0.000000156
1447.979980469,0.000000119
1448.020019531,0.000000148
1448.059936523,0.000000110
1448.099975586,0.000000158
1448.140014648,0.000000134
1448.180053711,0.000000122
1448.219970703,0.000000117
1448.260009766,0.000000144
1448.300048828,0.000000138
1448.339965820,0.000000140
1448.380004883,0.000000123
1448.420043945,0.000000144
1448.459960938,0.000000131
1448.500000000,0.000000141
1448.540039062,0.000000127
1448.579956055,0.000000102
1448.619995117,0.000000161
1448.660034180,0.000000150
1448.699951172,0.000000140
1448.739990234,0.000000121
1448.780029297,0.000000118
1448.819946289,0.000000125
1448.859985352,0.000000100
1448.900024414,0.000000129
1448.939941406,0.000000119
1448.979980469,0.000000136
1449.020019531,0.000000124
1449.060058594,0.000000124
1449.099975586,0.000000140
1449.140014648,0.000000138
1449.179931641,0.000000155
1449.219970703,0.000000121
1449.260009766,0.000000152
1449.300048828,0.000000114
1449.339965820,0.000000138
1449.380004883,0.000000119
1449.420043945,0.000000133
1449.459960938,0.000000126
1449.500000000,0.000000158
1449.540039062,0.000000127
1449.580078125,0.000000135
1449.619995117,0.000000117
1449.660034180,0.000000129
1449.699951172,0.000000131
1449.739990234,0.000000141
1449.780029297,0.000000117
1449.820068359,0.000000141
1449.859985352,0.000000123
1449.900024414,0.000000126
1449.939941406,0.000000111
1449.979980469,0.000000129
1450.020019531,0.000000137
1450.060058594,0.000000139
1450.099975586,0.000000115
1450.140014648,0.000000112
1450.179931641,0.000000129
1450.219970703,0.000000123
1450.260009766,0.000000126
1450.300048828,0.000000132
1450.340087891,0.000000113
1450.380004883,0.000000131
1450.419921875,0.000000128
1450.459960938,0.000000111
1450.500000000,0.000000103
1450.540039062,0.000000122
1450.580078125,0.000000141
1450.619995117,0.000000123
1450.659912109,0.000000140
1450.699951172,0.000000131
1450.739990234,0.000000122
1450.780029297,0.000000125
1450.820068359,0.000000125
1450.860107422,0.000000122
1450.899902344,0.000000119
1450.939941406,0.000000121
1450.979980469,0.000000099
1451.020019531,0.000000100
1451.060058594,0.000000094
1451.100097656,0.000000138
1451.139892578,0.000000120
1451.179931641,0.000000155
1451.219970703,0.000000107
1451.260009766,0.000000105
1451.300048828,0.000000123
1451.340087891,0.000000087
1451.380004883,0.000000106
1451.419921875,0.000000121
1451.459960938,0.000000134
1451.500000000,0.000000133
1451.540039062,0.000000124
1451.580078125,0.000000109
1451.619995117,0.000000122
1451.659912109,0.000000101
1451.699951172,0.000000115
1451.739990234,0.000000140
1451.780029297,0.000000098
1451.820068359,0.000000102
1451.859985352,0.000000113
1451.899902344,0.000000094
1451.939941406,0.000000119
1451.979980469,0.000000136
1452.020019531,0.000000160
1452.060058594,0.000000107
1452.100097656,0.000000103
1452.140014648,0.000000119
1452.179931641,0.000000133
1452.219970703,0.000000105
1452.260009766,0.000000124
1452.300048828,0.000000105
1452.340087891,0.000000098
1452.380004883,0.000000089
1452.419921875,0.000000112
1452.459960938,0.000000103
1452.500000000,0.000000125
1452.540039062,0.000000130
1452.580078125,0.000000130
1452.619995117,0.000000108
1452.659912109,0.000000127
1452.699951172,0.000000112
1452.739990234,0.000000104
1452.780029297,0.000000104
1452.820068359,0.000000074
1452.859985352,0.000000116
1452.900024414,0.000000101
1452.939941406,0.000000107
1452.979980469,0.000000100
1453.020019531,0.000000095
1453.060058594,0.000000108
1453.099975586,0.000000078
1453.140014648,0.000000091
1453.179931641,0.000000092
1453.219970703,0.000000105
1453.260009766,0.000000100
